School Name,Type,Region,State,Longitude,Latitude,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,1st,2nd,3rd,4th,5th
Grinnell College,Liberal Arts,Midwestern,IA,-92.721432,41.74636255,42600,76600,,65100,116000,,Economics,Computer Science,Political Science,Biology,Psychology
Gustavus Adolphus College,Liberal Arts,Midwestern,MN,-93.971928,44.324968,44500,80600,,49300,101000,,Psychology,Business Management,Biology,Economics,Political Science
Hamilton College,Liberal Arts,Northeastern,NY,-75.407996,43.05424753,49200,83700,,51900,123000,,Economics,Math,Political Science,International Relations,Biology
Harvard University,Ivy League,Northeastern,MA,-71.118234,42.37417202,63400,124000,54800,86200,179000,288000,Economics,Computer Science,Political Science,History,Sociology
Harvey Mudd College,Engineering,California,CA,-117.709758,34.10571676,71800,122000,,96000,180000,,Mechanical Engineering,Computer Science,Physics,Math,Chemistry
Hofstra University,Private,Northeastern,NY,-73.60078,40.71595869,46800,92700,48900,67000,135000,189000,Drama,Psychology,Marketing,Business Management,Finance
Howard University,Private,Southern,DC,-77.019478,38.92073881,46900,81800,43300,60000,109000,138000,Biology,International Relations,Political Science,Communications,Psychology
Humboldt State University,State,California,CA,-124.077255,40.87545198,42600,71300,36000,56300,94400,117000,Biology,Business Management,Psychology,Education,Forestry
Idaho State University,State,Western,ID,-112.429084,42.86410777,44900,73400,35400,49600,101000,143000,Nursing,Business Management,Health Care Administration,Education,Psychology
Illinois Institute of Technology (IIT),Engineering,Midwestern,IL,-87.628346,41.83380065,56000,97800,56100,77400,121000,165000,Architecture,Mechanical Engineering,Electrical Engineering,Computer Science,Information Technology (IT)
Illinois State University,State,Midwestern,IL,-88.99234,40.50972361,42000,73400,39100,55200,105000,142000,Finance,Marketing,Agriculture,Accounting,MIS
"Indiana University (IU), Bloomington",Party,Midwestern,IN,-86.523585,39.16773929,46300,84000,43600,60400,119000,178000,Business Management,MIS,Computer Science,Nutrition,Biology
Indiana Wesleyan University (IWU),Private,Midwestern,IN,-85.677881,40.5112,39800,58500,39600,47800,78600,93400,Nursing,Liberal Arts,Business Management,Religion,Education
Iowa State University,State,Midwestern,IA,-93.65024,42.025303,45400,84600,44400,60000,109000,147000,Mechanical Engineering,Agriculture,Nutrition,Marketing,Finance
Ithaca College,Liberal Arts,Northeastern,NY,-76.495057,42.42263969,42700,87400,50200,62400,128000,174000,Business Management,Drama,Film,Journalism,Communications
