School Name,1st,2nd,3rd,4th,5th
Rider University,Business Management,Psychology,Accounting,Education,Finance
University of Connecticut (UConn),Psychology,Economics,Communications,Biology,Nursing
Providence College,Finance,Business Management,Marketing,Biology,Psychology
University of Massachusetts (UMass) - Amherst,Psychology,Economics,Communications,Health Care Administration,Biology
Ithaca College,Business Management,Drama,Film,Journalism,Communications
University of Massachusetts (UMass) - Lowell,Business Management,Criminal Justice,Information Technology (IT),Psychology,Mechanical Engineering
Northeastern University,Business Management,Economics,Mechanical Engineering,Information Technology (IT),Communications
Syracuse University,Information Technology (IT),Psychology,Economics,Finance,Drama
Colby College,Economics,Political Science,Math,Biology,Psychology
Gettysburg College,Economics,Political Science,Business Management,Nutrition,Psychology
Pennsylvania State University (PSU),Information Technology (IT),Biology,Economics,Finance,Mechanical Engineering
University of Rhode Island (URI),Nursing,Psychology,Communications,Nutrition,Biology
Siena College,Marketing,Accounting,Psychology,Finance,Biology
La Salle University (Philadelphia),Nursing,Psychology,Marketing,Communications,Finance
Rochester Institute of Technology (RIT),Mechanical Engineering,Computer Science,Electrical Engineering,Computer Engineering,Civil Engineering
Duquesne University,Nursing,Marketing,Biology,Finance,Accounting
State University of New York (SUNY) at Farmingdale,Business Management,Criminal Justice,Computer Science,Nursing,Biology
Smith College,Political Science,Psychology,Economics,Biology,English
Hamilton College,Economics,Math,Political Science,International Relations,Biology
Wellesley College,Economics,Information Technology (IT),Political Science,Biology,Psychology
Widener University,Nursing,Psychology,Physician Assistant,Business Management,Mechanical Engineering
University of New Haven,Criminal Justice,Psychology,Biology,Business Management,Communications
Dowling College,Communications,Computer Science,Education,English,Math
University of Vermont (UVM),Business Management,Psychology,Nursing,Economics,Mechanical Engineering
State University of New York (SUNY) at Buffalo,Business Management,Psychology,Sociology,Communications,Mechanical Engineering
State University of New York (SUNY) at Geneseo,Psychology,Biology,Communications,Business Management,Accounting
Fashion Institute of Technology,Business Management,Marketing,Graphic Design,Interior Design,Art History
Philadelphia University,Architecture,Business Management,Health Care Administration,Graphic Design,Art History
Ursinus College,Biology,Economics,Nutrition,Psychology,Communications
Adelphi University,Nursing,Biology,Business Management,Psychology,Nutrition
Juniata College,Nursing,Business Management,Communications,Psychology,Accounting
Fairleigh Dickinson University,Psychology,Nursing,Criminal Justice,Business Management,Biology
University of New Hampshire (UNH),Business Management,Psychology,Communications,Biology,Mechanical Engineering
University of Massachusetts (UMass) - Boston,Business Management,Psychology,Biology,Education,Nursing
State University of New York (SUNY) at Oswego,Business Management,Psychology,Drama,Education,Marketing
University of Massachusetts (UMass) - Dartmouth,Nursing,Psychology,Business Management,Accounting,Criminal Justice
State University of New York (SUNY) at Oneonta,Communications,Economics,Psychology,Biology,Education
Quinnipiac University,Health Care Administration,Nursing,Business Management,Finance,Psychology
State University of New York (SUNY) at Plattsburgh,Business Management,Psychology,Criminal Justice,Nursing,Communications
Sacred Heart University,Nursing,Business Management,Marketing,Psychology,Finance
Skidmore College,Business Management,English,Psychology,Political Science,Economics
Moravian College,Nursing,Business Management,Psychology,Economics,Sociology
Penn State - Harrisburg,Mechanical Engineering,Civil Engineering,Information Technology (IT),Accounting,Criminal Justice
Suffolk University,Finance,Marketing,Business Management,Communications,Accounting
Fitchburg State College,Business Management,Nursing,Film,Biology,Psychology
Roger Williams University,Criminal Justice,Marketing,Psychology,Architecture,Business Management
University Of Maine,Business Management,Psychology,Marketing,Nursing,Finance
State University of New York (SUNY) at Potsdam,Business Management,Psychology,Education,Biology,Communications
Niagara University,Business Management,Nursing,Criminal Justice,Accounting,Information Technology (IT)
State University of New York (SUNY) at Fredonia,Business Management,Psychology,Criminal Justice,International Relations,Information Technology (IT)
University of Southern Maine,Business Management,Psychology,Marketing,Nursing,Finance
Mercy College,Business Management,Sociology,Health Care Administration,Psychology,Criminal Justice
