School Name,State,Longitude,Latitude,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,1st,2nd,3rd,4th,5th
University of Wisconsin (UW) - Whitewater,WI,-88.742368,42.835563,"$40,800 ","$75,500 ","$38,200 ","$53,500 ","$99,300 ","$150,000 ",Nursing,Psychology,Education,Management Information Systems (MIS),Nutrition
University of Wyoming (UW),WY,-105.57204,41.311943,"$44,500 ","$78,700 ","$41,500 ","$54,000 ","$105,000 ","$145,000 ",Biology,Economics,Nutrition,Psychology,Communications
Ursinus College,PA,-75.458029,40.19423605,"$42,100 ","$80,000 ","$35,600 ","$54,300 ","$100,000 ","$160,000 ",Economics,Business Management,Information Technology (IT),Education,Psychology
Utah State University,UT,-111.81391,41.740748,"$43,800 ","$78,700 ","$41,600 ","$55,400 ","$101,000 ","$132,000 ",Psychology,Business Management,Communications,Computer Engineering,Accounting
Utah Valley State College,UT,-111.717058,40.2785117,"$42,400 ","$67,100 ",,"$44,100 ","$84,900 ",,Economics,Math,Computer Science,Political Science,Psychology
Vanderbilt University,TN,-86.804875,36.14442982,"$51,200 ","$104,000 ","$49,900 ","$68,100 ","$147,000 ","$222,000 ",Political Science,Economics,Psychology,Biology,English
Vassar College,NY,-73.897581,41.68599708,"$46,000 ","$94,600 ",,"$60,600 ","$123,000 ",,Finance,Nursing,Communications,Economics,Management Information Systems (MIS)
Villanova University,PA,-75.340222,40.03577163,"$55,800 ","$101,000 ","$56,800 ","$76,200 ","$156,000 ","$226,000 ",Psychology,Business Management,Biology,Education,Communications
Virginia Commonwealth University (VCU),VA,-77.453597,37.5476308,"$42,000 ","$68,400 ","$37,400 ","$51,900 ","$100,000 ","$123,000 ",Mechanical Engineering,Management Information Systems (MIS),Finance,Nutrition,Information Technology (IT)
Virginia Polytechnic Institute and State University (Virginia Tech),VA,-80.419988,37.2299064,"$53,500 ","$95,400 ","$50,600 ","$71,400 ","$124,000 ","$163,000 ",Business Management,Criminal Justice,Biology,Psychology,Communications
Virginia Wesleyan College (VWC),VA,-76.18606,36.86841713,"$34,600 ","$54,900 ",,"$37,100 ","$88,900 ",,Psychology,Nursing,Sociology,Mechanical Engineering,Accounting
Washington and Lee University,VA,-79.442869,37.78897441,"$53,600 ","$104,000 ",,"$82,800 ","$146,000 ",,Business Management,Economics,Political Science,Accounting,Math
Washington State University (WSU),WA,-117.158168,46.730448,"$45,300 ","$84,700 ","$43,600 ","$59,000 ","$113,000 ","$162,000 ",Psychology,Biology,Business Management,Nursing,Health Care Administration
Wayne State University,MI,-83.072864,42.35861,"$42,800 ","$76,100 ","$40,100 ","$56,200 ","$101,000 ","$139,000 ",Economics,Information Technology (IT),Political Science,Biology,Psychology
Wellesley College,MA,-71.306657,42.29374109,"$42,800 ","$83,500 ",,"$58,600 ","$125,000 ",,Mechanical Engineering,Construction,Architecture,Computer Science,Business Management
Wentworth Institute of Technology,MA,-71.094983,42.33663201,"$53,000 ","$96,700 ","$55,200 ","$74,000 ","$117,000 ","$153,000 ",Economics,Psychology,English,Political Science,Biology
"Wesleyan University (Middletown, Connecticut)",CT,-72.656773,41.5568096,"$46,500 ","$97,900 ","$42,000 ","$62,500 ","$126,000 ","$215,000 ",Journalism,Sociology,Psychology,Nursing,Education
West Virginia University (WVU),WV,-79.953926,39.63468,"$43,100 ","$78,100 ","$39,700 ","$55,700 ","$106,000 ","$141,000 ",Nursing,Criminal Justice,Business Management,Marketing,Psychology
Western Carolina University,NC,-83.184555,35.30936691,"$36,900 ","$66,600 ","$39,000 ","$49,500 ","$94,400 ","$133,000 ",Marketing,Health Care Administration,Psychology,Nursing,Business Management 
Western Michigan University (WMU),MI,-85.613482,42.28079931,"$42,300 ","$73,800 ","$40,100 ","$52,500 ","$103,000 ","$135,000 ",Psychology,Information Technology (IT),Business Management,Communications,Sociology
Western Washington University,WA,-122.485016,48.73737855,"$42,700 ","$75,400 ","$41,300 ","$56,700 ","$99,200 ","$119,000 ",Biology,Political Science,Economics,Psychology,Geology
Whitman College,WA,-118.329714,46.07148757,"$43,500 ","$80,100 ",,"$64,800 ","$111,000 ",,Nursing,Psychology,Physician Assistant,Business Management,Mechanical Engineering
Widener University,PA,-75.355216,39.86171641,"$52,900 ","$83,400 ","$42,600 ","$61,400 ","$106,000 ","$138,000 ",Economics,Math,Biology,Political Science,History
Williams College,MA,-73.203071,42.7127729,"$51,700 ","$102,000 ",,"$76,400 ","$143,000 ",,Biology,Psychology,Marketing,Education,Business Management 
Wittenberg University,OH,-83.813911,39.93479432,"$39,200 ","$78,200 ",,"$54,100 ","$131,000 ",,Mechanical Engineering,Computer Science,Chemical Engineering,Electrical Engineering,Aerospace Engineering
Worcester Polytechnic Institute (WPI),MA,-71.809765,42.2743459,"$61,000 ","$114,000 ","$80,000 ","$91,200 ","$137,000 ","$180,000 ",Economics,History,Political Science,Biology,English
Yale University,CT,-72.922511,41.31230826,"$59,100 ","$126,000 ","$58,000 ","$80,600 ","$198,000 ","$326,000 ",,,,,
